date,VIX,SPY,HYG,TLT,GLD,CPER
2013-02-19,12.3100004196167,122.01631927490234,45.83784866333008,80.28555297851562,155.3300018310547,26.020000457763672
2013-02-20,14.680000305175781,120.49560546875,45.793704986572266,80.5279769897461,151.44000244140625,25.389999389648438
2013-02-21,15.220000267028809,119.76309204101562,45.842750549316406,80.99896240234375,152.6199951171875,24.739999771118164
2013-02-22,14.170000076293945,120.93348693847656,45.955501556396484,81.05436706542969,152.97000122070312,24.649999618530273
2013-02-25,18.989999771118164,118.63255310058594,45.813350677490234,82.64728546142578,154.33999633789062,24.770000457763672
2013-02-26,16.8700008392334,119.44466400146484,46.038822174072266,82.1694107055664,156.22000122070312,24.84000015258789
2013-02-27,14.729999542236328,120.94947052001953,46.11725997924805,81.92703247070312,154.57000732421875,24.829999923706055
2013-02-28,15.510000228881836,120.7105712890625,46.09764862060547,82.07935333251953,153.0,24.829999923706055
2013-03-01,15.359999656677246,121.10867309570312,46.1893196105957,82.52637481689453,152.44000244140625,24.43000030517578
2013-03-04,14.010000228881836,121.75364685058594,46.19426345825195,82.08912658691406,152.3000030517578,24.43000030517578
2013-03-05,13.479999542236328,122.84434509277344,46.287879943847656,81.85311126708984,152.3800048828125,24.510000228881836
2013-03-06,13.529999732971191,123.01155853271484,46.258331298828125,81.11045837402344,153.22999572753906,24.309999465942383
2013-03-07,13.0600004196167,123.23444366455078,46.32732009887695,80.48579406738281,152.69000244140625,24.479999542236328
2013-03-08,12.59000015258789,123.7599868774414,46.38152313232422,79.64596557617188,152.7100067138672,24.450000762939453
2013-03-11,11.5600004196167,124.22976684570312,46.35195541381836,79.72227478027344,152.99000549316406,24.5
2013-03-12,12.270000457763672,123.9510269165039,46.33224105834961,80.2983627319336,154.19000244140625,24.729999542236328
2013-03-13,11.829999923706055,124.126220703125,46.3420524597168,80.21510314941406,153.66000366210938,24.559999465942383
2013-03-14,11.300000190734863,124.78705596923828,46.5195198059082,79.97215270996094,153.67999267578125,24.59000015258789
2013-03-15,11.300000190734863,124.62232208251953,46.51458740234375,80.34697723388672,154.0,24.479999542236328
2013-03-18,13.359999656677246,123.93455505371094,46.52444076538086,80.95772552490234,155.3800048828125,24.479999542236328
2013-03-19,14.390000343322754,123.64665222167969,46.445594787597656,81.5060806274414,156.0800018310547,23.6200008392334
2013-03-20,12.670000076293945,124.5103988647461,46.598388671875,80.59684753417969,155.3699951171875,23.920000076293945
2013-03-21,13.989999771118164,123.44676971435547,46.51458740234375,81.37417602539062,156.25,23.950000762939453
2013-03-22,13.569999694824219,124.43843841552734,46.480098724365234,81.4366683959961,155.5500030517578,24.1299991607666
2013-03-25,13.739999771118164,123.9185791015625,46.411102294921875,81.36031341552734,155.24000549316406,24.0
2013-03-26,12.770000457763672,124.91019439697266,46.494876861572266,81.45748138427734,154.72000122070312,24.030000686645508
